Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp3pm,RainToday,
Albury,13,23,1,NA,NA,W,44,W,WNW,20,24,71,22,1008,1007,8,NA,22,No,
Albury,7,25,0,NA,NA,WNW,44,NNW,WSW,4,22,44,25,1011,1008,NA,NA,24,No,
Albury,13,26,0,NA,NA,WSW,46,W,WSW,19,26,38,30,1008,1009,NA,2,23,No,
Albury,9,28,0,NA,NA,NE,24,SE,E,11,9,45,16,1018,1013,NA,NA,27,No,
Albury,18,32,1,NA,NA,W,41,ENE,NW,7,20,82,33,1011,1006,7,8,30,No,
Albury,15,30,0,NA,NA,WNW,56,W,W,19,24,55,23,1009,1005,NA,NA,29,No,
Albury,14,25,0,NA,NA,W,50,SW,W,20,24,49,19,1010,1008,1,NA,25,No,
Albury,8,27,0,NA,NA,W,35,SSE,W,6,17,48,19,1013,1010,NA,NA,26,No,
Albury,10,32,0,NA,NA,NNW,80,SE,NW,7,28,42,9,1009,1004,NA,NA,30,No,
Albury,13,30,1,NA,NA,W,28,S,SSE,15,11,58,27,1007,1006,NA,NA,28,Yes,
Albury,13,30,0,NA,NA,N,30,SSE,ESE,17,6,48,22,1012,1009,NA,NA,29,No,
Albury,16,22,2,NA,NA,NNE,31,NE,ENE,15,13,89,91,1011,1004,8,8,17,Yes,
Albury,16,19,16,NA,NA,W,61,NNW,NNW,28,28,76,93,994,993,8,8,16,Yes,
Albury,13,21,4,NA,NA,SW,44,W,SSW,24,20,65,43,1001,1002,NA,7,20,Yes,
Albury,8,25,0,NA,NA,NA,NA,S,WNW,4,30,57,32,1010,1009,NA,NA,24,No,
Albury,10,28,NA,NA,NA,WNW,50,NA,WNW,NA,22,50,28,1013,1010,0,NA,26,No,
Albury,14,21,0,NA,NA,ENE,22,SSW,E,11,9,69,82,1012,1010,8,1,18,No,
Albury,14,23,17,NA,NA,W,63,N,WNW,6,20,80,65,1006,1002,8,1,22,Yes,
Albury,11,23,11,NA,NA,SSE,43,WSW,SW,24,17,47,32,1009,1010,NA,2,21,Yes,
Albury,10,26,0,NA,NA,SSE,26,SE,NNW,17,6,45,26,1019,1017,NA,NA,23,No,
Albury,12,29,0,NA,NA,S,24,SE,SE,9,9,56,28,1019,1015,NA,NA,27,No,
Albury,17,33,0,NA,NA,NE,43,NE,N,17,22,38,28,1014,1008,NA,1,32,No,
Albury,21,32,0,NA,NA,WNW,41,W,W,19,20,54,24,1008,1006,NA,NA,31,No,
Albury,15,31,0,NA,NA,N,33,ESE,NW,6,13,55,23,1011,1008,5,NA,29,No,
Albury,13,32,0,NA,NA,W,43,E,W,4,19,49,17,1013,1010,NA,NA,31,No,
Albury,16,34,0,NA,NA,WSW,35,SE,WSW,9,13,45,19,1011,1008,NA,1,33,No,
Albury,17,33,0,NA,NA,WSW,57,NA,W,0,26,41,28,1007,1004,NA,1,31,No,
Albury,20,33,0,NA,NA,WNW,48,N,WNW,13,30,56,15,1005,1002,NA,NA,32,No,
Albury,20,27,0,NA,NA,WNW,46,NW,WSW,19,30,49,22,1005,1004,NA,NA,26,No,
Albury,13,24,1,NA,NA,WNW,50,WSW,SW,11,22,78,70,1006,1003,8,8,18,Yes,
Albury,12,24,1,NA,NA,W,39,WNW,WNW,17,17,48,28,1006,1005,1,NA,23,No,
Albury,11,27,0,NA,NA,WNW,56,W,WNW,19,31,46,26,1005,1003,NA,NA,26,No,
Albury,10,24,0,NA,NA,W,41,WSW,SSW,19,11,44,22,1014,1013,NA,NA,22,No,
Albury,11,29,0,NA,NA,SSE,26,SSE,E,11,7,43,22,1019,1015,NA,NA,27,No,
Albury,12,35,0,NA,NA,WNW,37,SSE,NW,6,17,41,12,1015,1010,NA,NA,34,No,
Albury,13,36,0,NA,NA,WNW,41,ENE,NW,6,26,41,9,1013,1009,NA,NA,34,No,
Albury,14,38,0,NA,NA,W,52,SE,WNW,4,26,33,8,1011,1007,NA,NA,37,No,
Albury,16,39,0,NA,NA,W,57,E,W,6,30,34,12,1007,1003,NA,NA,38,No,
Albury,14,28,0,NA,NA,W,48,W,WSW,17,24,43,15,1012,1011,NA,NA,28,No,
Albury,13,28,0,NA,NA,NE,37,SSE,S,20,9,38,16,1018,1014,NA,NA,27,No,
Albury,17,31,0,NA,NA,NE,37,NNE,E,15,11,36,24,1013,1008,NA,NA,29,No,
Albury,17,32,0,NA,NA,S,31,SSE,N,13,17,52,31,1010,1007,NA,NA,30,No,
Albury,17,35,0,NA,NA,SW,35,SE,WSW,7,15,48,16,1014,1012,NA,NA,33,No,
Albury,17,38,0,NA,NA,NNW,35,SE,NW,7,17,51,19,1016,1011,NA,NA,36,No,
Albury,17,43,0,NA,NA,NW,39,SSE,SSW,7,17,40,8,1012,1007,NA,NA,42,No,
Albury,20,33,0,NA,NA,WNW,44,W,W,20,28,34,28,1008,1009,NA,NA,27,No,
Albury,15,27,0,NA,NA,SW,56,WSW,SW,20,31,46,20,1014,1013,NA,NA,26,No,
Albury,11,28,0,NA,NA,SE,33,SE,SW,19,11,35,16,1020,1017,NA,NA,26,No,
Albury,11,32,0,NA,NA,WNW,28,ENE,SSW,17,15,34,17,1020,1016,NA,NA,31,No,
