Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp3pm,RainToday,
Albury,13,23,1,NA,NA,W,44,W,WNW,20,24,71,22,1008,1007,8,NA,22,No,
Albury,7,25,0,NA,NA,WNW,44,NNW,WSW,4,22,44,25,1011,1008,NA,NA,24,No,
Albury,13,26,0,NA,NA,WSW,46,W,WSW,19,26,38,30,1008,1009,NA,2,23,No,
Albury,9,28,0,NA,NA,NE,24,SE,E,11,9,45,16,1018,1013,NA,NA,27,No,
Albury,18,32,1,NA,NA,W,41,ENE,NW,7,20,82,33,1011,1006,7,8,30,No,
Albury,15,30,0,NA,NA,WNW,56,W,W,19,24,55,23,1009,1005,NA,NA,29,No,
Albury,14,25,0,NA,NA,W,50,SW,W,20,24,49,19,1010,1008,1,NA,25,No,
Albury,8,27,0,NA,NA,W,35,SSE,W,6,17,48,19,1013,1010,NA,NA,26,No,
Albury,10,32,0,NA,NA,NNW,80,SE,NW,7,28,42,9,1009,1004,NA,NA,30,No,
Albury,13,30,1,NA,NA,W,28,S,SSE,15,11,58,27,1007,1006,NA,NA,28,Yes,
Albury,13,30,0,NA,NA,N,30,SSE,ESE,17,6,48,22,1012,1009,NA,NA,29,No,
Albury,16,22,2,NA,NA,NNE,31,NE,ENE,15,13,89,91,1011,1004,8,8,17,Yes,
Albury,16,19,16,NA,NA,W,61,NNW,NNW,28,28,76,93,994,993,8,8,16,Yes,
Albury,13,21,4,NA,NA,SW,44,W,SSW,24,20,65,43,1001,1002,NA,7,20,Yes,
Albury,8,25,0,NA,NA,NA,NA,S,WNW,4,30,57,32,1010,1009,NA,NA,24,No,
Albury,10,28,NA,NA,NA,WNW,50,NA,WNW,NA,22,50,28,1013,1010,0,NA,26,No,
Albury,14,21,0,NA,NA,ENE,22,SSW,E,11,9,69,82,1012,1010,8,1,18,No,
Albury,14,23,17,NA,NA,W,63,N,WNW,6,20,80,65,1006,1002,8,1,22,Yes,
Albury,11,23,11,NA,NA,SSE,43,WSW,SW,24,17,47,32,1009,1010,NA,2,21,Yes,
Albury,10,26,0,NA,NA,SSE,26,SE,NNW,17,6,45,26,1019,1017,NA,NA,23,No,
Albury,12,29,0,NA,NA,S,24,SE,SE,9,9,56,28,1019,1015,NA,NA,27,No,
Albury,17,33,0,NA,NA,NE,43,NE,N,17,22,38,28,1014,1008,NA,1,32,No,
Albury,21,32,0,NA,NA,WNW,41,W,W,19,20,54,24,1008,1006,NA,NA,31,No,
Albury,15,31,0,NA,NA,N,33,ESE,NW,6,13,55,23,1011,1008,5,NA,29,No,
